mode,epoch,train_bpc,val_bpc
ssa,1,11.00413,3.10059
ssa,2,2.95022,2.90366
ssa,3,2.78137,2.78152
ssa,4,2.66014,2.68631
ssa,5,2.57323,2.61721
ssa,6,2.50975,2.57452
ssa,7,2.46321,2.53139
ssa,8,2.42803,2.50917
ssa,9,2.40057,2.49138
ssa,10,2.37847,2.47120
ssa,11,2.36021,2.45917
ssa,12,2.34457,2.44701
ssa,13,2.33135,2.43632
ssa,14,2.32014,2.42687
ssa,15,2.31062,2.42184
ssa,16,2.30285,2.41676
ssa,17,2.29658,2.41109
ssa,18,2.29194,2.40913
ssa,19,2.28896,2.40786
ssa,20,2.28747,2.40796
